nombre_cientifico;id_dicc_especies;Spanish.Red.List;Birds.Directive;Bern;Bonn;Spanish.Name;English.Name;Authority
Regulus ignicapillus;361;NE;I;III;;Reyezuelo listado;Common Firecrest;Temminck, 1820
Saxicola rubetra;307;NE;;III;;Tarabilla norteña;Whinchat;Linnaeus, 1758
Saxicola torquata;306;NE;;III;;Tarabilla común;African Stonechat;Linnaeus, 1766
Serinus citrinella;443;NE;I;III;;Verderón serrano;Citril Finch;Pallas, 1764
Serinus serinus;442;NE;;III;;Verdecillo;European Serin;Linnaeus, 1766
Sitta europaea;386;NE;;III;;Trepador azul;Eurasian Nuthatch;Linnaeus, 1758
Sturnus unicolor;459;NE;;III;II;Estornino negro;Spotless Starling;Temminck, 1820
Sylvia atricapilla;324;NE;;III;II;Curruca capirotada;Eurasian Blackcap;Linnaeus, 1758
Sylvia cantillans;320;NE;;III;;Curruca carrasqueña;Subalpine Warbler;Pallas, 1764
Sylvia communis;323;NE;;III;II;Curruca zarcera;Common Whitethroat;Latham, 1787
Sylvia conspicillata;321;LC*;;III;II;Curruca tomillera;Spectacled Warbler;Temminck, 1820
Sylvia melanocephala;326;NE;II;III;;Curruca cabecinegra;Sardinian Warbler;Gmelin, JF, 1789
Sylvia undata;318;NE;;III;;Curruca rabilarga;Dartford Warbler;Boddaert, 1783
Troglodytes troglodytes;282;NE;II;;;Chochín;Eurasian Wren;Linnaeus, 1758
Turdus iliacus;291;NE;;III;;Zorzal alirrojo;Redwing;Linnaeus, 1758
Turdus merula;293;NE;;III;;Mirlo común ;Common Blackbird;Linnaeus, 1758
Turdus philomelos;290;NE;;III;II;Zorzal común ;Song Thrush;Brehm, CL, 1831
Turdus pilaris;292;NE;II;III;II;Zorzal real;Fieldfare;Linnaeus, 1758
Turdus torquatus;294;NE;II;III;II;Mirlo capiblanco;Ring Ouzel;Linnaeus, 1758
Turdus viscivorus;289;NE;II;III;II;Zorzal charlo;Mistle Thrush;Linnaeus, 1758
