id_dicc_especies,nombre_cientifico,kingdom,phylum,subphylum,class,order,family,genus
386,Sitta europaea,Metazoa,Chordata,Craniata,Aves,Passeriformes,Sittidae,Sitta
314,Monticola saxatilis,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Monticola
286,Prunella collaris,Metazoa,Chordata,Craniata,Aves,Passeriformes,Passeridae,Prunella
375,Cyanistes caeruleus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Paridae,Cyanistes
831,Caprimulgus europaeus,Metazoa,Chordata,Craniata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus
443,Serinus citrinella,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Serinus
412,Passer domesticus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Passeridae,Passer
377,Lophophanes cristatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Paridae,Lophophanes
326,Sylvia melanocephala,Metazoa,Chordata,Craniata,Aves,Passeriformes,Sylviidae,Sylvia
259,Anthus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Motacillidae,Anthus
405,Lanius senator,Metazoa,Chordata,Craniata,Aves,Passeriformes,Laniidae,Lanius
238,Galerida cristata,Metazoa,Chordata,Craniata,Aves,Passeriformes,Alaudidae,Galerida
288,Turdus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
699,Accipiter nisus,Metazoa,Chordata,Craniata,Aves,Falconiformes,Accipitridae,Accipiter
373,Periparus ater,Metazoa,Chordata,Craniata,Aves,Passeriformes,Paridae,Periparus
306,Saxicola torquata,Metazoa,Chordata,Craniata,Aves,Passeriformes,Muscicapidae,Saxicola
304,Phoenicurus ochruros,Metazoa,Chordata,Craniata,Aves,Passeriformes,Muscicapidae,Phoenicurus
292,Turdus pilaris,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
464,Emberiza cirlus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Emberiza
353,Phylloscopus collybita,Metazoa,Chordata,Craniata,Aves,Passeriformes,Phylloscopidae,Phylloscopus
801,Streptopelia turtur,Metazoa,Chordata,Craniata,Aves,Columbiformes,Columbidae,Streptopelia
318,Sylvia undata,Metazoa,Chordata,Craniata,Aves,Passeriformes,Sylviidae,Sylvia
402,Oriolus oriolus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Oriolus
420,Corvus monedula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Corvus
285,Prunella modularis,Metazoa,Chordata,Craniata,Aves,Passeriformes,Passeridae,Prunella
844,Merops apiaster,Metazoa,Chordata,Craniata,Aves,Coraciiformes,Meropidae,Merops
392,Certhia brachydactyla,Metazoa,Chordata,Craniata,Aves,Passeriformes,Certhiidae,Certhia
