nombre_cientifico,id_dicc_especies,Spanish.Red.List,IUCN.Global,Birds.Directive,Bern,Bonn,Spanish.Name,English.Name,Authority
Acanthis cannabina,454,,NA,,,,,,
Regulus ignicapillus,361,NE,NA,I,III,,Reyezuelo listado,Common Firecrest,Temminck, 1820
Saxicola rubetra,307,NE,NA,,III,,Tarabilla norteña,Whinchat,Linnaeus, 1758
Saxicola torquata,306,NE,NA,,III,,Tarabilla común,African Stonechat,Linnaeus, 1766
Serinus citrinella,443,NE,NA,I,III,,Verderón serrano,Citril Finch,Pallas, 1764
Serinus serinus,442,NE,NA,,III,,Verdecillo,European Serin,Linnaeus, 1766
Sitta europaea,386,NE,NA,,III,,Trepador azul,Eurasian Nuthatch,Linnaeus, 1758
Streptopelia turtur,801,VU,NA,,III,II,Tórtola europea,European Turtle Dove,Linnaeus, 1758
Sturnus unicolor,459,NE,NA,,III,II,Estornino negro,Spotless Starling,Temminck, 1820
Sylvia atricapilla,324,NE,NA,,III,II,Curruca capirotada,Eurasian Blackcap,Linnaeus, 1758
Sylvia cantillans,320,NE,NA,,III,,Curruca carrasqueña,Subalpine Warbler,Pallas, 1764
Sylvia communis,323,NE,NA,,III,II,Curruca zarcera,Common Whitethroat,Latham, 1787
Sylvia conspicillata,321,LC*,NA,,III,II,Curruca tomillera,Spectacled Warbler,Temminck, 1820
Sylvia melanocephala,326,NE,NA,II,III,,Curruca cabecinegra,Sardinian Warbler,Gmelin, JF, 1789
Sylvia undata,318,NE,NA,,III,,Curruca rabilarga,Dartford Warbler,Boddaert, 1783
Troglodytes troglodytes,282,NE,NA,II,,,Chochín,Eurasian Wren,Linnaeus, 1758
Turdus iliacus,291,NE,NA,,III,,Zorzal alirrojo,Redwing,Linnaeus, 1758
Turdus merula,293,NE,NA,,III,,Mirlo común ,Common Blackbird,Linnaeus, 1758
Turdus philomelos,290,NE,NA,,III,II,Zorzal común ,Song Thrush,Brehm, CL, 1831
Turdus pilaris,292,NE,NA,II,III,II,Zorzal real,Fieldfare,Linnaeus, 1758
Turdus torquatus,294,NE,NA,II,III,II,Mirlo capiblanco,Ring Ouzel,Linnaeus, 1758
Turdus viscivorus,289,NE,NA,II,III,II,Zorzal charlo,Mistle Thrush,Linnaeus, 1758
Upupa epops,851,NE,NA,II,III,II,Abubilla común,Eurasian Hoopoe,Linnaeus, 1758
