id,nombre_cientifico,id_dicc_especies,nombre_cientifico.1,kingdom,phylum,subphylum,class,order,family,genus
50,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
51,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
52,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
53,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
54,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
55,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
56,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
57,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
58,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
59,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
60,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
61,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
62,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
63,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
64,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
65,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
66,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
67,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
68,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
69,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
70,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
71,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
72,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
73,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
74,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
75,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
76,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
77,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
78,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
79,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
80,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
81,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
82,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
83,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
84,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
85,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
86,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
87,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
88,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
89,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
90,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
91,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
92,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
93,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
94,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
95,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
96,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
97,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
98,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
99,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
100,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
101,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
102,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
103,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
104,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
105,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
106,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
107,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
108,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
109,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
110,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
111,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
112,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
113,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
114,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
115,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
116,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
117,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
118,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
119,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
120,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
121,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
122,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
123,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
124,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
125,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
126,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
127,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
128,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
129,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
130,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
131,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
132,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
133,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
134,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
135,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
136,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
137,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
138,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
139,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
140,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
141,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
142,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
143,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
144,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
145,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
146,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
147,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
148,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
149,Turdus iliacus,291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
150,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
151,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
152,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
153,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
154,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
155,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
156,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
157,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
158,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
159,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
160,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
161,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
162,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
163,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
164,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
165,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
166,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
167,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
168,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
169,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
170,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
171,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
172,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
173,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
174,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
175,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
176,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
177,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
178,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
179,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
180,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
181,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
182,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
183,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
184,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
185,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
186,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
187,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
188,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
189,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
190,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
191,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
192,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
193,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
194,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
195,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
196,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
197,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
198,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
199,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
200,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
201,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
202,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
203,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
204,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
205,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
206,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
207,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
208,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
209,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
210,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
211,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
212,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
213,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
214,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
215,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
216,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
217,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
218,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
219,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
220,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
221,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
222,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
223,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
224,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
225,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
226,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
227,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
228,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
229,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
230,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
231,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
232,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
233,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
234,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
235,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
