id,nombre_cientifico,id_dicc_especies,nombre_cientifico.1,kingdom,phylum,subphylum,class,order,family,genus
2,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
3,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
4,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
5,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
6,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
7,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
8,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
9,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
10,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
11,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
12,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
13,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
14,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
15,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
16,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
17,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
18,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
19,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
20,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
21,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
22,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
23,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
24,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
25,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
26,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
27,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
28,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
29,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
30,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
31,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
32,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
33,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
34,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
35,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
36,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
37,Erithacus rubecula,296,Erithacus rubecula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Erithacus
38,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
39,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
40,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
41,Turdus torquatus,294,Turdus torquatus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
42,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
43,Garrulus glandarius,433,Garrulus glandarius,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Garrulus
44,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
45,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
46,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
47,Turdus viscivorus,289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
48,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
49,Turdus merula,293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
