id_dicc_especies;Authority;nombre_cientifico;kingdom;phylum;subphylum;class;order;family;genus
371;Linnaeus, 1758;Parus major;Metazoa;Chordata;Craniata;Aves;Passeriformes;Paridae;Parus
412;Linnaeus, 1758;Passer domesticus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Passeridae;Passer
373;Linnaeus, 1758;Periparus ater;Metazoa;Chordata;Craniata;Aves;Passeriformes;Paridae;Periparus
416;Linnaeus, 1766;Petronia petronia;Metazoa;Chordata;Craniata;Aves;Passeriformes;Passeridae;Petronia
304;Gmelin, SG, 1774;Phoenicurus ochruros;Metazoa;Chordata;Craniata;Aves;Passeriformes;Muscicapidae;Phoenicurus
303;Linnaeus, 1758;Phoenicurus phoenicurus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Muscicapidae;Phoenicurus
349;;Phylloscopus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Phylloscopidae;Phylloscopus
350;Vieillot, 1819;Phylloscopus bonelli;Metazoa;Chordata;Craniata;Aves;Passeriformes;Phylloscopidae;Phylloscopus
353;Vieillot, 1817;Phylloscopus collybita;Metazoa;Chordata;Craniata;Aves;Passeriformes;Phylloscopidae;Phylloscopus
431;Linnaeus, 1758;Pica pica;Metazoa;Chordata;Craniata;Aves;Passeriformes;Corvidae;Pica
854;Linnaeus, 1758;Picus viridis;Metazoa;Chordata;Craniata;Aves;Piciformes;Picidae;Picus
286;Scopoli, 1769;Prunella collaris;Metazoa;Chordata;Craniata;Aves;Passeriformes;Passeridae;Prunella
285;Linnaeus, 1758;Prunella modularis;Metazoa;Chordata;Craniata;Aves;Passeriformes;Passeridae;Prunella
426;Linnaeus, 1758;Pyrrhocorax pyrrhocorax;Metazoa;Chordata;Craniata;Aves;Passeriformes;Corvidae;Pyrrhocorax
361;Temminck, 1820;Regulus ignicapillus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Regulus
307;Linnaeus, 1758;Saxicola rubetra;Metazoa;Chordata;Craniata;Aves;Passeriformes;Muscicapidae;Saxicola
306;Linnaeus, 1766;Saxicola torquata;Metazoa;Chordata;Craniata;Aves;Passeriformes;Muscicapidae;Saxicola
443;Pallas, 1764;Serinus citrinella;Metazoa;Chordata;Craniata;Aves;Passeriformes;Fringillidae;Serinus
442;Linnaeus, 1766;Serinus serinus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Fringillidae;Serinus
386;Linnaeus, 1758;Sitta europaea;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sittidae;Sitta
801;Linnaeus, 1758;Streptopelia turtur;Metazoa;Chordata;Craniata;Aves;Columbiformes;Columbidae;Streptopelia
459;Temminck, 1820;Sturnus unicolor;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sturnidae;Sturnus
317;;Sylvia;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
324;Linnaeus, 1758;Sylvia atricapilla;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
320;Pallas, 1764;Sylvia cantillans;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
323;Latham, 1787;Sylvia communis;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
321;Temminck, 1820;Sylvia conspicillata;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
326;Gmelin, JF, 1789;Sylvia melanocephala;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
318;Boddaert, 1783;Sylvia undata;Metazoa;Chordata;Craniata;Aves;Passeriformes;Sylviidae;Sylvia
282;Linnaeus, 1758;Troglodytes troglodytes;Metazoa;Chordata;Craniata;Aves;Passeriformes;Certhiidae;Troglodytes
288;;Turdus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
291;Linnaeus, 1758;Turdus iliacus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
293;Linnaeus, 1758;Turdus merula;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
290;Brehm, CL, 1831;Turdus philomelos;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
292;Linnaeus, 1758;Turdus pilaris;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
294;Linnaeus, 1758;Turdus torquatus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
289;Linnaeus, 1758;Turdus viscivorus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Turdidae;Turdus
851;Linnaeus, 1758;Upupa epops;Metazoa;Chordata;Craniata;Aves;Upupiformes;Upupidae;Upupa
24604;;NA;NA;NA;NA;NA;NA;NA;NA
