Order,records,per
Caprimulgiformes,6,0.02
Columbiformes,387,1.28
Coraciiformes,18,0.06
Cuculiformes,94,0.31
Falconiformes,60,0.2
Galliformes,1082,3.57
Passeriformes,28437,93.78
Piciformes,190,0.63
Strigiformes,8,0.03
Upupiformes,42,0.14
