adis_visita_id;recordedby
208;Javier Martín Jaramillo, Rogelio López
209;Pablo Galdo, Javier Foronda
210;Isacio
211;Fanny Archila
212;Fanny Archila
213;Francisco Contreras Parody, Mentxu
214;Fanny Archila
215;Mentxu
216;Fanny Archila
217;J. M. Marín, Fanny Archila
218;Francisco Contreras Parody
219;Francisco Contreras Parody
220;Mentxu, Francisco Contreras Parody
221;Francisco Contreras Parody
222;Francisco Contreras Parody
223;Mentxu, Isacio
224;Pablo Galdo
225;Isacio
226;Isacio
227;Pablo Galdo
228;Mentxu, Fanny Archila
229;Fanny Archila, Francisco Contreras Parody
230;Pablo Galdo
231;Mentxu, Isacio
232;Pablo Galdo
233;Francisco Contreras Parody, Mentxu
234;Fanny Archila, Pablo Galdo
235;Pablo Galdo
236;Pablo Galdo
237;Francisco Contreras Parody
238;Isacio
239;Fanny Archila, Pablo Galdo
240;Mentxu, Pablo Galdo
241;Pablo Galdo
242;Mentxu, Isacio
243;Guillermo Rodriguez, Isacio
244;Isacio, Fanny Archila
245;Fanny Archila, Pablo Galdo
246;Juan Pablo, Francisco Contreras Parody
247;Fanny Archila
248;Pablo Galdo
249;Pablo Galdo
250;Rogelio López
251;Mentxu, D. Morillar
252;Fanny Archila, Pablo Galdo
253;Rogelio López, Javier Martín Jaramillo
254;Rogelio López
255;Javier Martín Jaramillo
256;Rogelio López, Javier Martín Jaramillo
257;Rogelio López
258;Rogelio López
259;Rogelio López
260;Rogelio López
261;Javier Martín Jaramillo, Rogelio López
262;Fanny Archila, Francisco Contreras Parody
263;Mentxu
264;Rogelio López
265;Rogelio López
266;Rogelio López, Javier Martín Jaramillo
267;Javier Martín Jaramillo
268;Javier Martín Jaramillo
269;Javier Martín Jaramillo
270;Javier Martín Jaramillo
271;Rogelio López
272;Rogelio López
273;Pablo Galdo, Guillermo Rodriguez, Isacio
274;Francisco Contreras Parody, Asuncion Arias
275;Javier Martín Jaramillo
276;Rogelio López
277;Javier Martín Jaramillo
278;Javier Martín Jaramillo
279;Javier Martín Jaramillo
280;Rogelio López
281;Javier Martín Jaramillo
282;Rogelio López
283;Rogelio López
284;Javier Martín Jaramillo
285;Javier Martín Jaramillo
286;Javier Martín Jaramillo
287;Javier Martín Jaramillo, Rogelio López
288;Rogelio López
289;Rogelio López
290;Rogelio López
291;Rogelio López
292;Fanny Archila, Francisco Contreras Parody
293;Fanny Archila, Francisco Contreras Parody
294;Pablo Galdo
295;Isacio
296;Pablo Galdo
297;Isacio
298;Isacio
299;Javier Martín Jaramillo
300;Javier Martín Jaramillo
301;Rogelio López
302;Rogelio López
303;Rogelio López
308;Javier Martín Jaramillo, Rogelio López
309;Fanny Archila
310;Isacio
311;Pablo Galdo
312;Pablo Galdo, Fanny Archila
313;Francisco Contreras Parody
315;Angel, Pablo Galdo
316;Mentxu
317;Francisco Contreras Parody
318;Guillermo Rodriguez, Fanny Archila, Isacio
319;Javier Martín Jaramillo
320;Rogelio López
321;Javier Martín Jaramillo
322;Javier Martín Jaramillo
323;Mentxu, Francisco Contreras Parody
324;Pablo Galdo
325;Pablo Galdo
327;Fanny Archila, J. M. Marín
328;Fanny Archila, Francisco Contreras Parody
329;Verónica, Javier Martín Jaramillo
330;Rogelio López
331;Rogelio López
332;Rogelio López
333;Javier Martín Jaramillo, Cristina Martos
334;Rogelio López
335;Rogelio López, Javier Foronda
336;Rogelio López, Javier Martín Jaramillo
