id;nombre_cientifico;numero;distancia;desplazamiento;adis_transecto_id;fechai;fechaf;adis_visita_id;id_dicc_especies
61;Turdus torquatus;1;670;25;3;2007-12-14 16:25:00;2007-12-14 17:20:00;9;294
62;Turdus merula;1;1360;5;3;2007-12-14 16:25:00;2007-12-14 17:20:00;9;293
63;Turdus torquatus;4;1;5;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;294
64;Turdus torquatus;1;250;25;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;294
65;Turdus torquatus;5;690;45;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;294
66;Turdus merula;1;850;5;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;293
67;Turdus merula;1;1160;5;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;293
68;Turdus torquatus;2;1500;25;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;294
69;Turdus torquatus;1;1650;45;11;2007-11-27 10:27:00;2007-11-27 11:07:00;10;294
70;Turdus merula;2;340;15;11;2007-12-03 09:13:00;2007-12-03 09:55:00;11;293
71;Turdus torquatus;5;450;15;11;2007-12-03 09:13:00;2007-12-03 09:55:00;11;294
72;Turdus merula;1;880;5;11;2007-12-03 09:13:00;2007-12-03 09:55:00;11;293
73;Turdus merula;1;1000;5;11;2007-12-03 09:13:00;2007-12-03 09:55:00;11;293
74;Turdus torquatus;1;1760;25;11;2007-12-03 09:13:00;2007-12-03 09:55:00;11;294
75;Turdus torquatus;1;2070;45;11;2007-12-03 09:13:00;2007-12-03 09:55:00;11;294
76;Turdus torquatus;2;360;5;11;2007-12-10 09:14:00;2007-12-10 09:54:00;12;294
77;Turdus torquatus;1;500;5;11;2007-12-10 09:14:00;2007-12-10 09:54:00;12;294
78;Turdus torquatus;3;1000;15;11;2007-12-10 09:14:00;2007-12-10 09:54:00;12;294
79;Turdus torquatus;1;1800;5;11;2007-12-10 09:14:00;2007-12-10 09:54:00;12;294
80;Turdus torquatus;1;2070;35;11;2007-12-10 09:14:00;2007-12-10 09:54:00;12;294
81;Turdus merula;2;370;15;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;293
82;Turdus torquatus;1;370;5;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;294
83;Turdus torquatus;3;490;5;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;294
84;Turdus torquatus;5;600;35;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;294
85;Turdus merula;1;1000;45;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;293
86;Turdus torquatus;2;1800;45;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;294
87;Turdus torquatus;10;1980;5;11;2007-12-19 09:37:00;2007-12-19 10:18:00;13;294
88;Turdus merula;1;820;15;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;293
89;Turdus merula;1;820;45;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;293
90;Erithacus rubecula;1;900;45;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;296
91;Erithacus rubecula;2;1007;5;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;296
92;Erithacus rubecula;1;1460;5;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;296
93;Erithacus rubecula;1;1590;5;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;296
94;Turdus merula;1;1850;45;5;2007-11-13 09:34:00;2007-11-13 10:40:00;14;293
95;Turdus merula;2;1;45;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;293
96;Turdus merula;1;270;25;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;293
97;Erithacus rubecula;1;380;5;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;296
98;Erithacus rubecula;1;380;15;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;296
99;Turdus torquatus;6;725;45;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;294
100;Turdus merula;1;725;45;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;293
101;Turdus merula;1;1450;45;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;293
102;Turdus torquatus;1;1700;45;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;294
103;Turdus torquatus;1;1700;5;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;294
104;Turdus torquatus;1;1700;15;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;294
105;Turdus merula;1;2000;45;5;2007-11-28 16:00:00;2007-11-28 17:20:00;15;293
106;Turdus merula;2;120;45;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;293
107;Turdus merula;1;200;45;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;293
108;Turdus iliacus;1;260;45;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;291
109;Turdus iliacus;1;340;5;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;291
110;Turdus viscivorus;3;350;15;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;289
111;Turdus torquatus;5;360;5;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;294
112;Turdus merula;1;360;5;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;293
113;Turdus torquatus;2;420;15;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;294
114;Turdus merula;2;460;25;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;293
115;Turdus viscivorus;2;460;25;5;2007-12-12 10:09:00;2007-12-12 10:54:00;16;289
116;Turdus merula;1;50;5;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;293
117;Turdus merula;1;150;15;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;293
118;Turdus viscivorus;1;150;15;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;289
119;Turdus merula;1;300;5;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;293
120;Turdus torquatus;1;350;15;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;294
121;Turdus merula;1;400;15;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;293
122;Turdus torquatus;1;600;5;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;294
123;Turdus torquatus;1;630;5;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;294
124;Turdus torquatus;1;1000;5;5;2007-12-24 10:22:00;2007-12-24 11:13:00;17;294
125;Erithacus rubecula;1;240;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;296
126;Turdus merula;1;250;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
127;Turdus viscivorus;5;350;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;289
128;Turdus torquatus;3;350;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;294
129;Turdus iliacus;4;350;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
130;Turdus iliacus;4;300;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
131;Turdus merula;2;300;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
132;Turdus iliacus;1;275;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
133;Erithacus rubecula;1;277;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;296
134;Turdus merula;2;313;15;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
135;Turdus merula;1;420;15;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
136;Turdus iliacus;1;430;15;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
137;Erithacus rubecula;1;850;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;296
138;Turdus torquatus;2;1400;15;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;294
139;Turdus merula;1;1450;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
140;Turdus torquatus;2;1700;45;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;294
141;Turdus merula;1;1500;15;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
142;Turdus torquatus;2;1600;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;294
143;Turdus iliacus;5;1650;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
144;Turdus iliacus;1;1700;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
145;Turdus iliacus;3;1750;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
146;Turdus merula;1;1750;15;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
147;Turdus merula;1;1700;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
148;Turdus iliacus;1;1890;45;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
149;Turdus iliacus;3;1900;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;291
150;Turdus merula;6;1900;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
151;Garrulus glandarius;2;2000;45;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;433
152;Turdus merula;1;2150;5;6;2007-11-14 16:25:00;2007-11-14 18:04:00;18;293
153;Turdus merula;2;650;5;6;2007-12-07 16:15:00;2007-12-07 17:10:00;19;293
154;Garrulus glandarius;1;1500;35;6;2007-12-07 16:15:00;2007-12-07 17:10:00;19;433
155;Turdus merula;1;1750;35;6;2007-12-07 16:15:00;2007-12-07 17:10:00;19;293
156;Turdus merula;3;2230;5;6;2007-12-07 16:15:00;2007-12-07 17:10:00;19;293
157;Garrulus glandarius;2;2500;45;6;2007-12-07 16:15:00;2007-12-07 17:10:00;19;433
158;Turdus merula;2;230;5;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;293
159;Turdus merula;1;320;35;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;293
160;Turdus viscivorus;1;390;45;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;289
161;Turdus viscivorus;1;571;55;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;289
162;Turdus merula;2;650;55;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;293
163;Erithacus rubecula;1;1080;35;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;296
164;Turdus merula;1;1500;5;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;293
165;Turdus merula;1;1600;45;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;293
166;Turdus viscivorus;4;1600;45;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;289
167;Garrulus glandarius;1;1700;45;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;433
168;Turdus merula;1;2050;5;6;2007-12-14 09:40:00;2007-12-14 10:30:00;20;293
169;Turdus viscivorus;1;180;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;289
170;Turdus merula;1;215;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
171;Erithacus rubecula;1;230;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;296
172;Turdus merula;2;270;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
173;Turdus merula;2;340;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
174;Turdus viscivorus;1;425;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;289
175;Turdus torquatus;1;460;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;294
176;Turdus merula;1;690;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
177;Turdus viscivorus;1;700;45;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;289
178;Turdus merula;1;1170;45;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
179;Turdus merula;2;1450;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
180;Turdus merula;1;1790;5;6;2007-12-20 11:35:00;2007-12-20 12:17:00;21;293
181;Turdus merula;1;130;5;7;2007-11-27 16:03:00;2007-11-27 17:30:00;22;293
182;Turdus torquatus;6;1100;5;7;2007-11-27 16:03:00;2007-11-27 17:30:00;22;294
183;Erithacus rubecula;1;1100;5;7;2007-11-27 16:03:00;2007-11-27 17:30:00;22;296
184;Turdus torquatus;2;1080;15;7;2007-11-27 16:03:00;2007-11-27 17:30:00;22;294
185;Turdus torquatus;1;1250;5;7;2007-11-27 16:03:00;2007-11-27 17:30:00;22;294
186;Turdus torquatus;2;320;5;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
187;Turdus torquatus;3;310;5;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
188;Turdus torquatus;1;310;35;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
189;Turdus torquatus;5;310;45;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
190;Turdus torquatus;2;950;5;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
191;Turdus torquatus;1;1050;5;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
192;Turdus torquatus;2;1050;25;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
193;Turdus torquatus;2;1150;15;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
194;Turdus torquatus;4;2080;25;7;2007-12-04 10:00:00;2007-12-04 11:10:00;23;294
195;Turdus torquatus;12;400;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
196;Turdus torquatus;5;500;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
197;Turdus torquatus;1;530;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
198;Turdus torquatus;10;730;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
199;Turdus torquatus;1;1040;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
200;Turdus torquatus;12;1110;15;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
201;Turdus merula;1;1110;15;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;293
202;Turdus torquatus;1;1400;35;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
203;Turdus torquatus;1;1820;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
204;Turdus torquatus;1;2260;5;7;2007-12-11 09:08:00;2007-12-11 10:11:00;24;294
205;Turdus torquatus;2;300;15;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;294
206;Turdus torquatus;1;1000;5;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;294
207;Turdus torquatus;1;1100;5;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;294
208;Turdus merula;2;1270;5;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;293
209;Turdus torquatus;1;1400;5;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;294
210;Turdus torquatus;5;1500;5;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;294
211;Turdus torquatus;2;1500;45;7;2007-12-18 16:09:00;2007-12-18 17:00:00;25;294
212;Turdus torquatus;1;1850;45;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;294
213;Turdus torquatus;3;2020;45;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;294
214;Turdus viscivorus;1;2020;45;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;289
215;Turdus merula;2;2090;35;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;293
216;Turdus torquatus;2;2250;5;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;294
217;Turdus torquatus;2;2400;35;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;294
218;Turdus viscivorus;1;2400;15;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;289
219;Turdus viscivorus;1;2420;5;8;2007-11-30 10:00:00;2007-11-30 11:30:00;27;289
220;Turdus torquatus;1;280;5;8;2007-12-11 11:08:00;2007-12-11 11:57:00;28;294
221;Turdus torquatus;2;2500;5;8;2007-12-11 11:08:00;2007-12-11 11:57:00;28;294
222;Turdus torquatus;4;1960;45;8;2007-12-20 09:26:00;2007-12-20 10:14:00;29;294
223;Turdus torquatus;2;2300;15;8;2007-12-20 09:26:00;2007-12-20 10:14:00;29;294
224;Turdus torquatus;1;2340;5;8;2007-12-20 09:26:00;2007-12-20 10:14:00;29;294
225;Turdus torquatus;1;2360;5;8;2007-12-20 09:26:00;2007-12-20 10:14:00;29;294
226;Garrulus glandarius;1;150;45;2;2007-11-20 12:10:00;2007-11-20 13:00:00;30;433
227;Garrulus glandarius;1;1700;45;2;2007-11-20 12:10:00;2007-11-20 13:00:00;30;433
228;Garrulus glandarius;4;170;45;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
229;Garrulus glandarius;1;345;5;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
230;Garrulus glandarius;1;345;45;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
231;Garrulus glandarius;1;890;5;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
232;Garrulus glandarius;1;1170;15;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
233;Garrulus glandarius;1;1200;5;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
234;Garrulus glandarius;1;1350;45;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
235;Garrulus glandarius;1;2360;45;2;2007-11-29 09:35:00;2007-11-29 10:50:00;31;433
236;Garrulus glandarius;1;350;25;2;2007-12-15 09:35:00;2007-12-15 11:10:00;32;433
237;Garrulus glandarius;1;595;15;2;2007-12-15 09:35:00;2007-12-15 11:10:00;32;433
238;Garrulus glandarius;1;1040;45;2;2007-12-15 09:35:00;2007-12-15 11:10:00;32;433
239;Garrulus glandarius;1;1920;15;2;2007-12-15 09:35:00;2007-12-15 11:10:00;32;433
240;Turdus viscivorus;1;100;45;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;289
241;Turdus viscivorus;1;370;5;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;289
242;Turdus viscivorus;1;2100;45;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;289
243;Turdus merula;1;2120;5;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;293
244;Turdus merula;1;2180;5;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;293
245;Turdus iliacus;1;2180;5;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;291
246;Turdus iliacus;1;2250;5;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;291
247;Erithacus rubecula;1;2300;5;9;2007-11-19 10:15:00;2007-11-19 11:33:00;33;296
248;Turdus merula;1;350;5;9;2007-12-11 10:30:00;2007-12-11 11:45:00;34;293
249;Turdus merula;1;1500;15;9;2007-12-11 10:30:00;2007-12-11 11:45:00;34;293
250;Turdus merula;1;1560;15;9;2007-12-11 10:30:00;2007-12-11 11:45:00;34;293
251;Turdus viscivorus;1;1770;15;9;2007-12-11 10:30:00;2007-12-11 11:45:00;34;289
252;Garrulus glandarius;1;300;15;9;2007-12-18 10:47:00;2007-12-18 11:56:00;35;433
253;Erithacus rubecula;1;1450;5;9;2007-12-18 10:47:00;2007-12-18 11:56:00;35;296
254;Turdus merula;1;1500;15;9;2007-12-18 10:47:00;2007-12-18 11:56:00;35;293
255;Garrulus glandarius;2;2000;45;9;2007-12-18 10:47:00;2007-12-18 11:56:00;35;433
256;Turdus merula;1;2250;5;9;2007-12-18 10:47:00;2007-12-18 11:56:00;35;293
257;Turdus viscivorus;4;1430;5;10;2007-11-26 16:36:00;2007-11-26 17:21:00;36;289
258;Turdus torquatus;1;50;45;10;2007-12-03 11:28:00;2007-12-03 12:07:00;37;294
259;Turdus merula;2;60;5;10;2007-12-03 11:28:00;2007-12-03 12:07:00;37;293
260;Turdus torquatus;4;1500;15;10;2007-12-03 11:28:00;2007-12-03 12:07:00;37;294
261;Turdus torquatus;1;750;5;10;2007-12-10 11:28:00;2007-12-10 12:13:00;38;294
262;Turdus viscivorus;5;850;45;10;2007-12-10 11:28:00;2007-12-10 12:13:00;38;289
263;Turdus torquatus;3;860;5;10;2007-12-10 11:28:00;2007-12-10 12:13:00;38;294
264;Turdus torquatus;3;880;5;10;2007-12-10 11:28:00;2007-12-10 12:13:00;38;294
265;Turdus torquatus;1;1380;5;10;2007-12-10 11:28:00;2007-12-10 12:13:00;38;294
266;Turdus torquatus;3;690;5;10;2007-12-19 11:40:00;2007-12-19 12:20:00;39;294
267;Turdus merula;1;560;25;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
268;Turdus iliacus;4;588;45;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;291
269;Turdus viscivorus;2;588;45;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;289
270;Erithacus rubecula;1;738;15;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;296
271;Turdus merula;1;858;35;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
272;Garrulus glandarius;1;1050;15;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;433
273;Turdus merula;1;1100;25;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
274;Turdus merula;1;1150;5;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
275;Erithacus rubecula;1;1400;5;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;296
276;Turdus merula;1;1480;35;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
277;Turdus merula;3;1760;5;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
278;Turdus merula;6;1960;5;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;293
279;Garrulus glandarius;2;2100;25;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;433
280;Turdus torquatus;1;2130;45;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;294
281;Garrulus glandarius;2;2130;45;4;2007-11-15 11:35:00;2007-11-15 12:50:00;40;433
282;Turdus merula;1;575;5;4;2007-11-30 16:00:00;2007-11-30 17:00:00;41;293
283;Turdus merula;2;660;25;4;2007-11-30 16:00:00;2007-11-30 17:00:00;41;293
