id;nombre_cientifico;numero;distancia;desplazamiento;adis_transecto_id;fechai;fechaf;adis_visita_id;id_dicc_especies
2;Turdus viscivorus;1;1500;45;2;2007-12-27 14:44:00;2007-12-27 15:25:00;2;289
3;Turdus viscivorus;1;1830;5;2;2007-12-27 14:44:00;2007-12-27 15:25:00;2;289
4;Turdus viscivorus;1;2200;5;2;2007-12-27 14:44:00;2007-12-27 15:25:00;2;289
5;Erithacus rubecula;1;120;5;12;2007-11-28 10:30:00;2007-11-28 12:00:00;3;296
6;Turdus viscivorus;1;670;35;12;2007-11-28 10:30:00;2007-11-28 12:00:00;3;289
7;Turdus viscivorus;1;1000;45;12;2007-11-28 10:30:00;2007-11-28 12:00:00;3;289
8;Turdus merula;1;1250;45;12;2007-11-28 10:30:00;2007-11-28 12:00:00;3;293
9;Turdus merula;1;2150;5;12;2007-11-28 10:30:00;2007-11-28 12:00:00;3;293
10;Garrulus glandarius;1;660;35;12;2007-12-07 11:00:00;2007-12-07 12:30:00;4;433
11;Turdus merula;1;1200;25;12;2007-12-07 11:00:00;2007-12-07 12:30:00;4;293
12;Turdus viscivorus;2;1280;15;12;2007-12-07 11:00:00;2007-12-07 12:30:00;4;289
13;Turdus merula;1;1800;5;12;2007-12-07 11:00:00;2007-12-07 12:30:00;4;293
14;Turdus merula;1;1960;5;12;2007-12-07 11:00:00;2007-12-07 12:30:00;4;293
15;Turdus merula;2;50;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;293
16;Garrulus glandarius;1;100;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;433
17;Garrulus glandarius;1;105;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;433
18;Turdus merula;1;430;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;293
19;Turdus merula;1;1200;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;293
20;Turdus viscivorus;1;1200;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;289
21;Turdus merula;1;1600;25;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;293
22;Garrulus glandarius;1;1880;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;433
23;Garrulus glandarius;1;2060;5;12;2007-12-18 10:00:00;2007-12-18 11:30:00;5;433
24;Erithacus rubecula;1;130;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;296
25;Erithacus rubecula;1;250;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;296
26;Turdus merula;1;250;15;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
27;Turdus merula;1;290;15;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
28;Turdus merula;1;400;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
29;Erithacus rubecula;1;410;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;296
30;Turdus viscivorus;1;530;45;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;289
31;Turdus torquatus;1;600;25;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;294
32;Turdus merula;1;620;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
33;Erithacus rubecula;1;625;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;296
34;Erithacus rubecula;1;950;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;296
35;Turdus merula;2;1080;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
36;Turdus torquatus;1;1120;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;294
37;Erithacus rubecula;1;1270;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;296
38;Turdus merula;1;1250;15;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
39;Turdus merula;2;1280;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
40;Turdus merula;1;1350;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;293
41;Turdus torquatus;6;1430;5;3;2007-11-14 09:05:00;2007-11-14 10:46:00;6;294
42;Garrulus glandarius;1;10;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;433
43;Garrulus glandarius;1;400;45;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;433
44;Turdus merula;1;1000;45;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
45;Turdus merula;1;1100;45;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
46;Turdus merula;1;1100;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
47;Turdus viscivorus;1;1100;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;289
48;Turdus merula;1;1100;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
49;Turdus merula;1;1100;45;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
50;Erithacus rubecula;1;1200;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;296
51;Turdus merula;1;1640;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
52;Turdus merula;1;2130;45;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
53;Turdus merula;1;2180;5;12;2007-12-27 15:30:00;2007-12-27 17:00:00;7;293
54;Turdus merula;1;245;5;3;2007-12-05 16:50:00;2007-12-05 17:45:00;8;293
55;Turdus torquatus;1;630;15;3;2007-12-05 16:50:00;2007-12-05 17:45:00;8;294
56;Turdus merula;1;1080;5;3;2007-12-05 16:50:00;2007-12-05 17:45:00;8;293
57;Erithacus rubecula;1;1250;5;3;2007-12-05 16:50:00;2007-12-05 17:45:00;8;296
58;Turdus merula;1;310;5;3;2007-12-14 16:25:00;2007-12-14 17:20:00;9;293
59;Turdus torquatus;2;615;5;3;2007-12-14 16:25:00;2007-12-14 17:20:00;9;294
60;Erithacus rubecula;1;640;5;3;2007-12-14 16:25:00;2007-12-14 17:20:00;9;296
